Model,ROUGE-1,ROUGE-2,ROUGE-L,BLEU,BERTScore-F1
sshleifer/distilbart-cnn-12-6,0.28104241185487994,0.08900255754475703,0.11343893714869699,0.007966112085396207,0.7807230949401855
t5-small,0.25545502927088876,0.09057005860415555,0.10111761575306014,0.002495625202750206,0.7776144742965698
facebook/bart-large-cnn,0.25516528925619836,0.08479834539813857,0.10020661157024792,0.006132284263381728,0.7850493788719177
google/flan-t5-base,0.3178410794602699,0.12106053026513255,0.12393803098450773,0.024498403261059776,0.7915109992027283
google/pegasus-xsum,0.004016064257028112,0.0,0.004016064257028112,0.0,0.7549303770065308
facebook/bart-base,0.5110227683411637,0.206871609403255,0.22551499819298879,0.19791704949872943,0.816338837146759
